,pitch_complexity
output/sonata29-1_fragment_56.musicxml,1.05125
output/sonata17-3_fragment_59.musicxml,2.4000000000000004
output/sonata21-1_fragment_40.musicxml,3.4857142857142858
output/sonata13-4_fragment_29.musicxml,3.5
output/sonata04-1_fragment_36.musicxml,1.9285714285714286
output/sonata17-1_fragment_1.musicxml,1.1942508710801394
output/sonata06-1_fragment_14.musicxml,4.561739130434782
output/sonata17-3_fragment_63.musicxml,3.1515151515151514
output/sonata13-4_fragment_45.musicxml,3.65359477124183
output/sonata15-4_fragment_50.musicxml,3.333333333333333
output/sonata25-1_fragment_32.musicxml,1.8333333333333335
output/sonata20-2_fragment_2.musicxml,1.65
output/sonata10-1_fragment_43.musicxml,2.9753753753753753
output/sonata26-1_fragment_12.musicxml,0.9214285714285715
output/sonata05-3_fragment_1.musicxml,1.8363107602825095
output/sonata14-1_fragment_9.musicxml,1.7484276729559745
output/sonata08-1_fragment_68.musicxml,2.0
output/sonata21-4_fragment_15.musicxml,3.1063829787234045
output/sonata07-1_fragment_4.musicxml,2.313725490196078
output/sonata05-1_fragment_46.musicxml,2.5
output/sonata29-1_fragment_32.musicxml,1.4303030303030302
output/sonata05-1_fragment_16.musicxml,1.7
output/sonata29-2_fragment_12.musicxml,2.345528455284553
output/sonata04-3_fragment_9.musicxml,0.9242424242424243
output/sonata26-1_fragment_62.musicxml,0.9142857142857141
output/sonata25-1_fragment_20.musicxml,1.6363636363636362
output/sonata07-1_fragment_49.musicxml,1.4615384615384617
output/sonata23-3_fragment_3.musicxml,4.0
output/sonata18-4_fragment_32.musicxml,1.6596638655462184
output/sonata08-1_fragment_49.musicxml,1.3092105263157894
output/sonata15-1_fragment_63.musicxml,1.125
output/sonata29-4_fragment_67.musicxml,0.8653250773993808
output/sonata07-3_fragment_5.musicxml,1.25
output/sonata12-3_fragment_11.musicxml,1.5358929295660402
output/sonata27-1_fragment_14.musicxml,2.6
output/sonata23-3_fragment_68.musicxml,2.642857142857143
output/sonata15-1_fragment_16.musicxml,0.9827586206896552
output/sonata12-4_fragment_0.musicxml,2.5
output/sonata07-4_fragment_5.musicxml,2.6009615384615383
output/sonata05-1_fragment_9.musicxml,0.6515151515151515
output/sonata15-1_fragment_22.musicxml,1.2916666666666667
output/sonata01-4_fragment_15.musicxml,1.5765765765765762
output/sonata07-1_fragment_69.musicxml,2.024390243902439
output/sonata03-4_fragment_5.musicxml,2.46045197740113
output/sonata28-2_fragment_14.musicxml,1.5208398950131232
output/sonata04-4_fragment_19.musicxml,5.694235588972431
output/sonata32-1_fragment_35.musicxml,2.9767441860465116
